cluster_id,role,title,description,category,impact,urgency,location,language,reporter_role,difficulty,minutes_after_original,overlap_level,is_duplicate
cluster_0008,ORIGINAL,3atel fe microphone,feh 3atel fe microphone fe Engineering Building - Room 101.,AV_CLASSROOM_EQUIPMENT,HIGH,MEDIUM,Engineering Building - Room 101,arabizi,lab_assistant,HARD,0,,0
cluster_0008,DUPLICATE,mshkela fel microphone,momken 7ad yshoof el microphone fe Engineering Building - Room 101?,AV_CLASSROOM_EQUIPMENT,HIGH,MEDIUM,Engineering Building - Room 101,arabizi,lab_assistant,HARD,666,HIGH,1
cluster_0008,DUPLICATE,mshkela fel microphone,feh issue fe microphone fe Engineering Building - Room 101.,AV_CLASSROOM_EQUIPMENT,HIGH,MEDIUM,Engineering Building - Room 101,arabizi,lab_assistant,HARD,1457,LOW,1
cluster_0008,DUPLICATE,mshkela fe el microphone,feh 7aga 8alat fel microphone fe Engineering Building - Room 101.,AV_CLASSROOM_EQUIPMENT,HIGH,MEDIUM,Engineering Building - Room 101,arabizi,lab_assistant,HARD,1253,LOW,1
cluster_0008,RELATED,el elevator wa2ef,momken 7ad yshoof el light fe Engineering Building - Room 101?,ELECTRICAL,HIGH,MEDIUM,Engineering Building - Room 101,arabizi,lab_assistant,HARD,604,RELATED,0
cluster_0008,HARD_NEGATIVE,el lecture screen feh moshkela,el lecture screen mehtag check fe el makan.,AV_CLASSROOM_EQUIPMENT,HIGH,MEDIUM,Outdoor Courtyard,arabizi,lab_assistant,HARD,908,LOW,0
cluster_0009,ORIGINAL,Floor tile issue,The floor tile in Main Entrance is having an issue. The damage was noticed today.,BUILDING_STRUCTURE,HIGH,MEDIUM,Main Entrance,en,lab_assistant,HARD,0,,0
cluster_0009,DUPLICATE,Floor tile problem reported,Problem reported with the floor tile in Main Entrance.,BUILDING_STRUCTURE,HIGH,MEDIUM,Main Entrance,en,lab_assistant,HARD,1363,MEDIUM,1
cluster_0009,DUPLICATE,Floor tile is is loose,Something seems wrong with the floor tile in Main Entrance.,BUILDING_STRUCTURE,HIGH,MEDIUM,Main Entrance,en,lab_assistant,HARD,1052,LOW,1
cluster_0009,DUPLICATE,Problem with floor tile,The floor tile at Main Entrance is causing trouble.,BUILDING_STRUCTURE,HIGH,MEDIUM,Main Entrance,en,lab_assistant,HARD,1077,LOW,1
cluster_0009,RELATED,Broken railing on stairs,There is an issue with the slippery floor in Main Entrance. The area is still being accessed.,SAFETY_HAZARD,HIGH,MEDIUM,Main Entrance,en,lab_assistant,HARD,1132,RELATED,0
cluster_0009,HARD_NEGATIVE,Problem reported with door,The door at Student Affairs Office is causing trouble.,BUILDING_STRUCTURE,HIGH,MEDIUM,Student Affairs Office,en,lab_assistant,HARD,1289,LOW,0
cluster_0010,ORIGINAL,Bathroom has not been cleaned,There is a problem with the bathroom at Dormitory B - Floor 1. The problem was noticed recently.,CLEANING_WASTE,HIGH,MEDIUM,Dormitory B - Floor 1,en,dorm_resident,MEDIUM,0,,0
cluster_0010,DUPLICATE,Bathroom issue,The same bathroom problem was noticed in Dormitory B - Floor 1.,CLEANING_WASTE,HIGH,MEDIUM,Dormitory B - Floor 1,en,dorm_resident,MEDIUM,1433,HIGH,1
cluster_0010,DUPLICATE,Bathroom issue,There is still a problem with the bathroom in Dormitory B - Floor 1. The problem was noticed recently.,CLEANING_WASTE,HIGH,MEDIUM,Dormitory B - Floor 1,en,dorm_resident,MEDIUM,2767,HIGH,1
cluster_0010,RELATED,Service area needs maintenance,I noticed that the service area has an unusual issue. It is in Dormitory B - Floor 1. The problem could not be classified more specifically.,OTHER,HIGH,MEDIUM,Dormitory B - Floor 1,en,dorm_resident,HARD,531,RELATED,0
cluster_0010,HARD_NEGATIVE,Corridor is has overflowing waste,The corridor in this area needs to be checked.,CLEANING_WASTE,HIGH,MEDIUM,Engineering Building - Lab 4,en,dorm_resident,HARD,287,LOW,0
cluster_0011,ORIGINAL,Problem with AC unit,محتاجين حد يشوف the AC unit في Parking Area.,HVAC_AC,MEDIUM,MEDIUM,Parking Area,mixed,admin_staff,HARD,0,,0
cluster_0011,DUPLICATE,Issue في AC unit,The AC unit مش شغال normally في Parking Area.,HVAC_AC,MEDIUM,MEDIUM,Parking Area,mixed,admin_staff,HARD,1862,HIGH,1
cluster_0011,DUPLICATE,The AC unit مش شغال,نفس المشكلة موجودة في the AC unit at Parking Area.,HVAC_AC,MEDIUM,MEDIUM,Parking Area,mixed,admin_staff,HARD,571,HIGH,1
cluster_0011,RELATED,There is a مشكلة في الباب,The problem is في Parking Area and it is affecting the area.,ELECTRICAL,MEDIUM,MEDIUM,Parking Area,mixed,admin_staff,HARD,1291,RELATED,0
cluster_0011,HARD_NEGATIVE,مشكلة في the air conditioning system,في حاجة غلط في the air conditioning system at Computer Science Building - Lab 3.,HVAC_AC,MEDIUM,MEDIUM,Computer Science Building - Lab 3,mixed,admin_staff,HARD,49,LOW,0
cluster_0012,ORIGINAL,Elevator stopped between floors,The elevator in Computer Science Building - Room 203 is having an issue. People are currently using the building stairs.,ELEVATOR,HIGH,HIGH,Computer Science Building - Room 203,en,lab_assistant,HARD,0,,0
cluster_0012,DUPLICATE,Elevator issue,The same elevator problem was noticed in Computer Science Building - Room 203.,ELEVATOR,HIGH,HIGH,Computer Science Building - Room 203,en,lab_assistant,HARD,1922,HIGH,1
cluster_0012,DUPLICATE,Elevator issue,The elevator needs attention in Computer Science Building - Room 203.,ELEVATOR,HIGH,HIGH,Computer Science Building - Room 203,en,lab_assistant,HARD,1788,MEDIUM,1
cluster_0012,DUPLICATE,Elevator is stopped between floors,There is an issue with the elevator at Computer Science Building - Room 203.,ELEVATOR,HIGH,HIGH,Computer Science Building - Room 203,en,lab_assistant,HARD,2816,MEDIUM,1
cluster_0012,RELATED,Electrical switch is not working,There is an issue with the power outlet in Computer Science Building - Room 203. The light turns off after a few minutes. Several people are affected.,ELECTRICAL,HIGH,HIGH,Computer Science Building - Room 203,en,lab_assistant,HARD,910,RELATED,0
cluster_0012,HARD_NEGATIVE,Problem with lift,The lift in this area needs to be checked.,ELEVATOR,HIGH,HIGH,Engineering Building - Lab 2,en,lab_assistant,HARD,1235,LOW,0
cluster_0013,ORIGINAL,Problem with ceiling,There is a problem with the ceiling at Dormitory A - Floor 2. The problem has gradually become more noticeable.,BUILDING_STRUCTURE,MEDIUM,MEDIUM,Dormitory A - Floor 2,en,lab_assistant,HARD,0,,0
cluster_0013,DUPLICATE,Issue affecting the ceiling,Problem reported with the ceiling in Dormitory A - Floor 2.,BUILDING_STRUCTURE,MEDIUM,MEDIUM,Dormitory A - Floor 2,en,lab_assistant,HARD,150,MEDIUM,1
cluster_0013,DUPLICATE,Ceiling is needs repair,Problem reported with the ceiling in Dormitory A - Floor 2.,BUILDING_STRUCTURE,MEDIUM,MEDIUM,Dormitory A - Floor 2,en,lab_assistant,HARD,988,MEDIUM,1
cluster_0013,RELATED,Broken chair in classroom,There is an issue with the chair in Dormitory A - Floor 2. The issue affects one item.,FURNITURE_FIXTURES,MEDIUM,MEDIUM,Dormitory A - Floor 2,en,lab_assistant,HARD,793,RELATED,0
cluster_0013,HARD_NEGATIVE,Window needs attention,I noticed a problem involving the window at Dormitory B - Floor 3.,BUILDING_STRUCTURE,MEDIUM,MEDIUM,Dormitory B - Floor 3,en,lab_assistant,HARD,147,LOW,0
cluster_0014,ORIGINAL,عطل في electrical switch,لاحظت إن electrical switch فيه مشكلة في Engineering Building - Lab 4.,ELECTRICAL,LOW,HIGH,Engineering Building - Lab 4,ar_eg,security_staff,MEDIUM,0,,0
cluster_0014,DUPLICATE,عطل في electrical switch,محتاجين حد يشوف electrical switch في Engineering Building - Lab 4.,ELECTRICAL,LOW,HIGH,Engineering Building - Lab 4,ar_eg,security_staff,MEDIUM,360,MEDIUM,1
cluster_0014,DUPLICATE,electrical switch فيه مشكلة,في مشكلة في electrical switch في Engineering Building - Lab 4. The outlet is needed for equipment in the room.,ELECTRICAL,LOW,HIGH,Engineering Building - Lab 4,ar_eg,security_staff,MEDIUM,2433,HIGH,1
cluster_0014,RELATED,في مشكلة محتاجة فحص,room requires inspection في Engineering Building - Lab 4. الموضوع محتاج متابعة. الموضوع مأثر على الاستخدام دلوقتي.,OTHER,LOW,HIGH,Engineering Building - Lab 4,ar_eg,security_staff,HARD,790,RELATED,0
cluster_0014,HARD_NEGATIVE,عطل في ceiling light,ceiling light محتاج يتراجع في المكان ده.,ELECTRICAL,LOW,HIGH,Main Entrance,ar_eg,security_staff,HARD,190,LOW,0
cluster_0015,ORIGINAL,el ceiling light feh moshkela,el ceiling light stopped working fe Library - Second Floor.,ELECTRICAL,MEDIUM,LOW,Library - Second Floor,arabizi,dorm_resident,HARD,0,,0
cluster_0015,DUPLICATE,el ceiling light mehtag check,mshkela related lel ceiling light fe Library - Second Floor.,ELECTRICAL,MEDIUM,LOW,Library - Second Floor,arabizi,dorm_resident,HARD,1269,LOW,1
cluster_0015,DUPLICATE,el ceiling light feh moshkela,el ceiling light fe Library - Second Floor feh moshkela.,ELECTRICAL,MEDIUM,LOW,Library - Second Floor,arabizi,dorm_resident,HARD,2444,MEDIUM,1
cluster_0015,RELATED,feh moshkela fel room,el moshkela zahret elnharda fe Library - Second Floor.,SAFETY_HAZARD,MEDIUM,LOW,Library - Second Floor,arabizi,dorm_resident,HARD,737,RELATED,0
cluster_0015,HARD_NEGATIVE,problem fe wall socket,mshkela related lel wall socket fe Administration Building - Room 18.,ELECTRICAL,MEDIUM,LOW,Administration Building - Room 18,arabizi,dorm_resident,HARD,719,LOW,0
cluster_0016,ORIGINAL,Problem with microphone,I noticed that the microphone has no sound in Administration Building - Room 12. The issue started before the lecture.,AV_CLASSROOM_EQUIPMENT,MEDIUM,HIGH,Administration Building - Room 12,en,admin_staff,MEDIUM,0,,0
cluster_0016,DUPLICATE,Microphone issue,There is still a problem with the microphone in Administration Building - Room 12. The issue started before the lecture.,AV_CLASSROOM_EQUIPMENT,MEDIUM,HIGH,Administration Building - Room 12,en,admin_staff,MEDIUM,1267,HIGH,1
cluster_0016,DUPLICATE,Issue affecting the microphone,The same microphone problem was noticed in Administration Building - Room 12.,AV_CLASSROOM_EQUIPMENT,MEDIUM,HIGH,Administration Building - Room 12,en,admin_staff,MEDIUM,842,HIGH,1
cluster_0016,RELATED,Printer shows an error,"The monitor is not working in Administration Building - Room 12, and it is affecting the area. This is needed for the current session.",IT_HARDWARE_PRINTING,MEDIUM,HIGH,Administration Building - Room 12,en,admin_staff,HARD,1028,RELATED,0
cluster_0016,HARD_NEGATIVE,Projector problem reported,The projector at Main Entrance is causing trouble.,AV_CLASSROOM_EQUIPMENT,MEDIUM,HIGH,Main Entrance,en,admin_staff,HARD,527,LOW,0
cluster_0017,ORIGINAL,Problem with mouse,The mouse stopped responding at Science Building - Chemistry Lab. The error appears when trying to use the device.,IT_HARDWARE_PRINTING,HIGH,LOW,Science Building - Chemistry Lab,en,lecturer,HARD,0,,0
cluster_0017,DUPLICATE,Issue affecting the mouse,I noticed a problem involving the mouse at Science Building - Chemistry Lab.,IT_HARDWARE_PRINTING,HIGH,LOW,Science Building - Chemistry Lab,en,lecturer,HARD,2807,LOW,1
cluster_0017,DUPLICATE,Mouse is stopped responding,There is still a problem with the mouse in Science Building - Chemistry Lab. The error appears when trying to use the device.,IT_HARDWARE_PRINTING,HIGH,LOW,Science Building - Chemistry Lab,en,lecturer,HARD,1592,HIGH,1
cluster_0017,RELATED,Projector will not turn on,Please check the smart board at Science Building - Chemistry Lab. It is not responding. The problem affects the whole classroom.,AV_CLASSROOM_EQUIPMENT,HIGH,LOW,Science Building - Chemistry Lab,en,lecturer,HARD,990,RELATED,0
cluster_0017,HARD_NEGATIVE,Problem reported with mouse,Something seems wrong with the mouse in Parking Area.,IT_HARDWARE_PRINTING,HIGH,LOW,Parking Area,en,lecturer,HARD,801,LOW,0
cluster_0018,ORIGINAL,el lift feh moshkela,feh moshkela fel lift fe Science Building - Chemistry Lab.,ELEVATOR,HIGH,MEDIUM,Science Building - Chemistry Lab,arabizi,lecturer,MEDIUM,0,,0
cluster_0018,DUPLICATE,el lift mehtag check,momken 7ad yshoof el lift fe Science Building - Chemistry Lab?,ELEVATOR,HIGH,MEDIUM,Science Building - Chemistry Lab,arabizi,lecturer,MEDIUM,2734,HIGH,1
cluster_0018,DUPLICATE,mshkela fel lift,el lift mehtag motaba3a.,ELEVATOR,HIGH,MEDIUM,Science Building - Chemistry Lab,arabizi,lecturer,MEDIUM,2326,LOW,1
cluster_0018,DUPLICATE,el lift feh moshkela,el moshkela fe lift zahret tany fe Science Building - Chemistry Lab.,ELEVATOR,HIGH,MEDIUM,Science Building - Chemistry Lab,arabizi,lecturer,MEDIUM,1164,HIGH,1
cluster_0018,RELATED,el printer msh byetba3,momken 7ad yshoof el floor tile fe Science Building - Chemistry Lab?,BUILDING_STRUCTURE,HIGH,MEDIUM,Science Building - Chemistry Lab,arabizi,lecturer,HARD,736,RELATED,0
cluster_0018,HARD_NEGATIVE,mshkela fe el elevator,mshkela related lel elevator fe Administration Building - Room 12.,ELEVATOR,HIGH,MEDIUM,Administration Building - Room 12,arabizi,lecturer,HARD,1125,LOW,0
cluster_0019,ORIGINAL,The water pipe has an issue,The problem is with water pipe في Parking Area.,PLUMBING_WATER,HIGH,HIGH,Parking Area,mixed,lecturer,MEDIUM,0,,0
cluster_0019,DUPLICATE,Problem with water pipe,The water pipe مش شغال normally في Parking Area.,PLUMBING_WATER,HIGH,HIGH,Parking Area,mixed,lecturer,MEDIUM,2321,HIGH,1
cluster_0019,DUPLICATE,مشكلة with water pipe,Something is wrong with the water pipe في Parking Area.,PLUMBING_WATER,HIGH,HIGH,Parking Area,mixed,lecturer,MEDIUM,2759,LOW,1
cluster_0019,RELATED,The AC مش بيبرد,The problem is في Parking Area and it is affecting the area.,BUILDING_STRUCTURE,HIGH,HIGH,Parking Area,mixed,lecturer,HARD,1236,RELATED,0
cluster_0019,HARD_NEGATIVE,مشكلة في the water pipe,Something is wrong with the water pipe في Engineering Building - Lab 2.,PLUMBING_WATER,HIGH,HIGH,Engineering Building - Lab 2,mixed,lecturer,HARD,877,LOW,0
cluster_0020,ORIGINAL,Elevator is not moving,I noticed that the elevator is not moving in Science Building - Chemistry Lab. People are currently using the building stairs.,ELEVATOR,HIGH,MEDIUM,Science Building - Chemistry Lab,en,admin_staff,HARD,0,,0
cluster_0020,DUPLICATE,Elevator needs attention,There is still a problem with the elevator in Science Building - Chemistry Lab. People are currently using the building stairs.,ELEVATOR,HIGH,MEDIUM,Science Building - Chemistry Lab,en,admin_staff,HARD,964,HIGH,1
cluster_0020,DUPLICATE,Problem reported with elevator,I noticed a problem involving the elevator at Science Building - Chemistry Lab.,ELEVATOR,HIGH,MEDIUM,Science Building - Chemistry Lab,en,admin_staff,HARD,2620,LOW,1
cluster_0020,DUPLICATE,Elevator is is not moving,There is an issue with the elevator at Science Building - Chemistry Lab.,ELEVATOR,HIGH,MEDIUM,Science Building - Chemistry Lab,en,admin_staff,HARD,2848,MEDIUM,1
cluster_0020,RELATED,Cracked wall near classroom,"The floor tile is cracked in Science Building - Chemistry Lab, and it is affecting the area. Several people are affected.",BUILDING_STRUCTURE,HIGH,MEDIUM,Science Building - Chemistry Lab,en,admin_staff,HARD,413,RELATED,0
cluster_0020,HARD_NEGATIVE,Problem reported with lift,There is a reported issue with this lift.,ELEVATOR,HIGH,MEDIUM,Engineering Building - Lab 2,en,admin_staff,HARD,317,LOW,0
cluster_0021,ORIGINAL,مشكلة power supply في المكان,المشكلة في power supply موجودة في Dormitory B - Floor 1.,ELECTRICAL,MEDIUM,LOW,Dormitory B - Floor 1,ar_eg,lecturer,HARD,0,,0
cluster_0021,DUPLICATE,عطل في power supply,power supply مش شغال بشكل طبيعي في Dormitory B - Floor 1.,ELECTRICAL,MEDIUM,LOW,Dormitory B - Floor 1,ar_eg,lecturer,HARD,1797,MEDIUM,1
cluster_0021,DUPLICATE,power supply مش شغال,مشكلة في power supply محتاجة تتراجع في Dormitory B - Floor 1.,ELECTRICAL,MEDIUM,LOW,Dormitory B - Floor 1,ar_eg,lecturer,HARD,1012,LOW,1
cluster_0021,RELATED,في سلك مكشوف في المعمل,obstruction is blocking part of the area في Dormitory B - Floor 1. الموضوع محتاج متابعة.,SAFETY_HAZARD,MEDIUM,LOW,Dormitory B - Floor 1,ar_eg,lecturer,HARD,276,RELATED,0
cluster_0021,HARD_NEGATIVE,مشكلة في wall socket,لاحظت مشكلة مرتبطة بـ wall socket في Dormitory B - Floor 3.,ELECTRICAL,MEDIUM,LOW,Dormitory B - Floor 3,ar_eg,lecturer,HARD,533,LOW,0
cluster_0022,ORIGINAL,The smoke has an issue,في عطل في the smoke في Dormitory A - Floor 1.,SAFETY_HAZARD,HIGH,LOW,Dormitory A - Floor 1,mixed,lecturer,MEDIUM,0,,0
cluster_0022,DUPLICATE,Issue في smoke,Something is wrong with the smoke في Dormitory A - Floor 1.,SAFETY_HAZARD,HIGH,LOW,Dormitory A - Floor 1,mixed,lecturer,MEDIUM,2411,LOW,1
cluster_0022,DUPLICATE,مشكلة with smoke,The smoke مش شغال في Dormitory A - Floor 1.,SAFETY_HAZARD,HIGH,LOW,Dormitory A - Floor 1,mixed,lecturer,MEDIUM,211,MEDIUM,1
cluster_0022,DUPLICATE,Issue في smoke,محتاجين حد يشوف the smoke في Dormitory A - Floor 1.,SAFETY_HAZARD,HIGH,LOW,Dormitory A - Floor 1,mixed,lecturer,MEDIUM,329,HIGH,1
cluster_0022,RELATED,There is a مشكلة في الباب,The problem is في Dormitory A - Floor 1 and it is affecting the area. أكتر من شخص affected.,ELECTRICAL,HIGH,LOW,Dormitory A - Floor 1,mixed,lecturer,HARD,1334,RELATED,0
cluster_0022,HARD_NEGATIVE,Problem with damaged safety sign,في مشكلة related to the damaged safety sign.,SAFETY_HAZARD,HIGH,LOW,Science Building - Chemistry Lab,mixed,lecturer,HARD,1135,LOW,0
cluster_0023,ORIGINAL,Mouse does not detect the device,There is a problem with the mouse at Library - First Floor. Only this device appears to be affected.,IT_HARDWARE_PRINTING,MEDIUM,HIGH,Library - First Floor,en,student,HARD,0,,0
cluster_0023,DUPLICATE,Mouse needs attention,There is still a problem with the mouse in Library - First Floor. Only this device appears to be affected.,IT_HARDWARE_PRINTING,MEDIUM,HIGH,Library - First Floor,en,student,HARD,1811,HIGH,1
cluster_0023,DUPLICATE,Mouse needs attention,The same mouse problem was noticed in Library - First Floor.,IT_HARDWARE_PRINTING,MEDIUM,HIGH,Library - First Floor,en,student,HARD,685,HIGH,1
cluster_0023,DUPLICATE,Problem reported with mouse,There is an issue with the mouse at Library - First Floor.,IT_HARDWARE_PRINTING,MEDIUM,HIGH,Library - First Floor,en,student,HARD,586,MEDIUM,1
cluster_0023,RELATED,Room needs inspection,The service area needs maintenance at Library - First Floor. The problem could not be classified more specifically.,OTHER,MEDIUM,HIGH,Library - First Floor,en,student,HARD,1222,RELATED,0
cluster_0023,HARD_NEGATIVE,Scanner is shows an error,The scanner at Science Building - Chemistry Lab is causing trouble.,IT_HARDWARE_PRINTING,MEDIUM,HIGH,Science Building - Chemistry Lab,en,student,HARD,1074,LOW,0
