ticket_id	created_at	prediction_timestamp	category	impact	urgency	priority	assigned_team	ticket_age_minutes	sla_consumed_pct	sla_time_remaining_minutes	created_hour	created_day_of_week	is_weekend	queue_depth	team_workload	prev_resolution_time_minutes	sla_breach
SLA-000011	7/25/2026 5:17	7/25/2026 6:15	PLUMBING_WATER	MEDIUM	MEDIUM	MEDIUM	Facilities	58	4.03	1382	5	5	1	25	15	542	1
SLA-000012	7/7/2026 14:16	7/7/2026 14:57	SAFETY_HAZARD	HIGH	MEDIUM	HIGH	Safety Team	41	8.54	439	14	1	0	7	0	510	0
SLA-000013	1/1/2026 16:55	1/1/2026 17:14	OTHER	MEDIUM	HIGH	HIGH	General Maintenance	19	3.96	461	16	3	0	17	6	210	0
SLA-000014	4/24/2026 22:52	4/25/2026 10:48	CLEANING_WASTE	MEDIUM	LOW	LOW	Cleaning Services	716	24.86	2164	22	4	0	0	6	3103	0
SLA-000015	1/4/2026 13:20	1/4/2026 16:49	OTHER	LOW	LOW	LOW	General Maintenance	209	7.26	2671	13	6	1	24	11	1679	1
SLA-000016	1/11/2026 11:59	1/11/2026 19:00	ELECTRICAL	MEDIUM	HIGH	HIGH	Facilities	421	87.71	59	11	6	1	24	8	378	1
SLA-000017	5/13/2026 21:14	5/14/2026 7:07	GROUNDS_OUTDOOR	MEDIUM	MEDIUM	MEDIUM	Grounds Team	593	41.18	847	21	2	0	27	14	755	1
SLA-000018	1/15/2026 4:44	1/15/2026 10:17	SAFETY_HAZARD	HIGH	MEDIUM	HIGH	Safety Team	333	69.38	147	4	3	0	18	4	560	1
SLA-000019	3/18/2026 16:48	3/19/2026 2:54	OTHER	LOW	LOW	LOW	General Maintenance	606	21.04	2274	16	2	0	3	1	2294	0
SLA-000020	3/13/2026 13:13	3/13/2026 14:09	PLUMBING_WATER	LOW	LOW	LOW	Facilities	56	1.94	2824	13	4	0	24	7	2799	0
SLA-000021	7/18/2026 13:08	7/18/2026 20:05	FURNITURE_FIXTURES	LOW	LOW	LOW	Facilities	417	14.48	2463	13	5	1	15	1	2491	0
SLA-000022	4/4/2026 8:27	4/4/2026 13:21	ELEVATOR	MEDIUM	MEDIUM	MEDIUM	Facilities	294	20.42	1146	8	5	1	26	8	1489	1
SLA-000023	6/10/2026 7:50	6/10/2026 11:04	CLEANING_WASTE	MEDIUM	LOW	LOW	Cleaning Services	194	6.74	2686	7	2	0	10	10	2457	1
SLA-000024	2/19/2026 8:38	2/19/2026 11:45	GROUNDS_OUTDOOR	MEDIUM	HIGH	HIGH	Grounds Team	187	38.96	293	8	3	0	16	9	185	0
SLA-000025	3/7/2026 10:12	3/7/2026 14:35	AV_CLASSROOM_EQUIPMENT	HIGH	MEDIUM	HIGH	AV Support	263	54.79	217	10	5	1	22	11	177	1
SLA-000026	2/23/2026 14:10	2/23/2026 18:32	AV_CLASSROOM_EQUIPMENT	MEDIUM	LOW	LOW	AV Support	262	9.1	2618	14	0	0	2	3	3447	0
SLA-000027	3/27/2026 3:28	3/27/2026 8:20	PLUMBING_WATER	HIGH	HIGH	CRITICAL	Facilities	292	60.83	188	3	4	0	5	13	332	1
SLA-000028	2/9/2026 21:41	2/10/2026 3:30	OTHER	MEDIUM	HIGH	HIGH	General Maintenance	349	72.71	131	21	0	0	18	8	304	0
SLA-000029	5/1/2026 15:28	5/1/2026 21:09	ELECTRICAL	MEDIUM	HIGH	HIGH	Facilities	341	71.04	139	15	4	0	29	14	242	1
SLA-000030	7/14/2026 9:54	7/14/2026 17:36	FURNITURE_FIXTURES	LOW	LOW	LOW	Facilities	462	16.04	2418	9	1	0	25	15	960	1
SLA-000031	7/25/2026 16:16	7/25/2026 18:06	OTHER	LOW	LOW	LOW	General Maintenance	110	3.82	2770	16	5	1	24	15	2543	1
SLA-000032	1/1/2026 17:40	1/1/2026 22:33	OTHER	HIGH	MEDIUM	HIGH	General Maintenance	293	61.04	187	17	3	0	29	2	139	1
SLA-000033	2/12/2026 13:36	2/12/2026 22:41	IT_NETWORK_ACCOUNTS	MEDIUM	MEDIUM	MEDIUM	IT Support	545	37.85	895	13	3	0	26	5	1124	0
SLA-000034	1/18/2026 8:30	1/18/2026 10:31	SAFETY_HAZARD	HIGH	HIGH	CRITICAL	Safety Team	121	25.21	359	8	6	1	29	5	191	1
SLA-000035	2/28/2026 13:56	2/28/2026 22:17	GROUNDS_OUTDOOR	MEDIUM	LOW	LOW	Grounds Team	501	17.4	2379	13	5	1	27	8	3232	1
SLA-000036	4/14/2026 2:37	4/14/2026 6:58	PLUMBING_WATER	MEDIUM	HIGH	HIGH	Facilities	261	54.37	219	2	1	0	30	5	323	1
SLA-000037	6/17/2026 9:01	6/17/2026 16:13	GROUNDS_OUTDOOR	MEDIUM	HIGH	HIGH	Grounds Team	432	90	48	9	2	0	2	14	255	1
SLA-000038	4/5/2026 23:20	4/6/2026 1:43	FURNITURE_FIXTURES	LOW	LOW	LOW	Facilities	143	4.97	2737	23	6	1	27	0	3365	1
SLA-000039	3/2/2026 4:25	3/2/2026 7:55	ELECTRICAL	MEDIUM	MEDIUM	MEDIUM	Facilities	210	14.58	1230	4	0	0	14	12	462	1
SLA-000040	3/16/2026 9:14	3/16/2026 9:59	HVAC_AC	LOW	LOW	LOW	Facilities	45	1.56	2835	9	0	0	17	15	2696	1
SLA-000041	3/6/2026 3:28	3/6/2026 4:25	IT_NETWORK_ACCOUNTS	MEDIUM	HIGH	HIGH	IT Support	57	11.88	423	3	4	0	30	5	555	1
SLA-000042	2/10/2026 15:37	2/10/2026 22:06	HVAC_AC	LOW	LOW	LOW	Facilities	389	13.51	2491	15	1	0	13	15	883	0
SLA-000043	2/7/2026 4:44	2/7/2026 15:21	FURNITURE_FIXTURES	MEDIUM	MEDIUM	MEDIUM	Facilities	637	44.24	803	4	5	1	6	6	937	0
SLA-000044	6/27/2026 9:52	6/27/2026 21:35	OTHER	LOW	MEDIUM	LOW	General Maintenance	703	24.41	2177	9	5	1	5	5	2624	0
SLA-000045	2/18/2026 7:04	2/18/2026 8:18	GROUNDS_OUTDOOR	LOW	LOW	LOW	Grounds Team	74	2.57	2806	7	2	0	1	8	1581	0
SLA-000046	8/25/2026 13:27	8/25/2026 15:42	ELEVATOR	LOW	HIGH	MEDIUM	Facilities	135	9.38	1305	13	1	0	4	9	1274	0
SLA-000047	7/6/2026 19:17	7/6/2026 23:03	SAFETY_HAZARD	HIGH	LOW	MEDIUM	Safety Team	226	15.69	1214	19	0	0	0	6	487	0
SLA-000048	6/23/2026 3:37	6/23/2026 6:51	ELEVATOR	MEDIUM	HIGH	HIGH	Facilities	194	40.42	286	3	1	0	2	6	345	0
SLA-000049	2/7/2026 0:44	2/7/2026 7:04	OTHER	MEDIUM	HIGH	HIGH	General Maintenance	380	79.17	100	0	5	1	19	12	349	1
SLA-000050	1/2/2026 1:01	1/2/2026 9:56	IT_HARDWARE_PRINTING	MEDIUM	LOW	LOW	IT Support	535	18.58	2345	1	4	0	23	8	3121	1
SLA-000051	4/6/2026 12:38	4/6/2026 13:13	ELECTRICAL	MEDIUM	HIGH	HIGH	Facilities	35	7.29	445	12	0	0	11	12	372	1
SLA-000052	1/20/2026 20:17	1/21/2026 4:02	SAFETY_HAZARD	MEDIUM	HIGH	HIGH	Safety Team	465	96.88	15	20	1	0	3	1	523	1
SLA-000053	8/13/2026 17:08	8/14/2026 1:28	AV_CLASSROOM_EQUIPMENT	MEDIUM	MEDIUM	MEDIUM	AV Support	500	34.72	940	17	3	0	5	4	983	0
SLA-000054	5/3/2026 10:51	5/3/2026 21:37	GROUNDS_OUTDOOR	LOW	MEDIUM	LOW	Grounds Team	646	22.43	2234	10	6	1	7	3	3287	0
SLA-000055	4/14/2026 22:15	4/15/2026 10:03	OTHER	MEDIUM	MEDIUM	MEDIUM	General Maintenance	708	49.17	732	22	1	0	24	11	932	0
SLA-000056	5/1/2026 6:07	5/1/2026 8:30	SAFETY_HAZARD	HIGH	HIGH	CRITICAL	Safety Team	143	29.79	337	6	4	0	25	13	336	1
SLA-000057	3/11/2026 15:16	3/11/2026 20:19	ELECTRICAL	MEDIUM	HIGH	HIGH	Facilities	303	63.12	177	15	2	0	0	14	259	1
SLA-000058	8/15/2026 6:55	8/15/2026 9:43	ELECTRICAL	MEDIUM	HIGH	HIGH	Facilities	168	35	312	6	5	1	0	1	331	0
SLA-000059	7/1/2026 20:59	7/2/2026 3:53	GROUNDS_OUTDOOR	MEDIUM	MEDIUM	MEDIUM	Grounds Team	414	28.75	1026	20	2	0	8	0	733	0
SLA-000060	3/8/2026 9:01	3/8/2026 19:25	PLUMBING_WATER	MEDIUM	LOW	LOW	Facilities	624	21.67	2256	9	6	1	2	11	2142	0
SLA-000061	1/26/2026 19:53	1/27/2026 1:35	SAFETY_HAZARD	MEDIUM	HIGH	HIGH	Safety Team	342	71.25	138	19	0	0	8	5	509	1
SLA-000062	2/19/2026 2:09	2/19/2026 12:31	ELECTRICAL	MEDIUM	LOW	LOW	Facilities	622	21.6	2258	2	3	0	7	11	838	0
SLA-000063	8/20/2026 2:27	8/20/2026 9:37	BUILDING_STRUCTURE	LOW	LOW	LOW	Facilities	430	14.93	2450	2	3	0	6	13	3122	1
SLA-000064	1/13/2026 2:42	1/13/2026 6:59	GROUNDS_OUTDOOR	HIGH	MEDIUM	HIGH	Grounds Team	257	53.54	223	2	1	0	0	8	213	0
SLA-000065	6/3/2026 16:16	6/3/2026 23:56	BUILDING_STRUCTURE	MEDIUM	HIGH	HIGH	Facilities	460	95.83	20	16	2	0	2	1	373	1
SLA-000066	4/2/2026 8:49	4/2/2026 16:41	FURNITURE_FIXTURES	MEDIUM	MEDIUM	MEDIUM	Facilities	472	32.78	968	8	3	0	21	12	500	1
SLA-000067	6/27/2026 1:42	6/27/2026 5:01	HVAC_AC	HIGH	MEDIUM	HIGH	Facilities	199	41.46	281	1	5	1	10	10	195	1
SLA-000068	1/30/2026 14:35	1/30/2026 22:06	ELEVATOR	MEDIUM	LOW	LOW	Facilities	451	15.66	2429	14	4	0	22	13	2685	1
SLA-000069	7/4/2026 17:31	7/5/2026 3:12	FURNITURE_FIXTURES	MEDIUM	MEDIUM	MEDIUM	Facilities	581	40.35	859	17	5	1	14	9	1606	1
SLA-000070	7/5/2026 6:29	7/5/2026 13:15	ELECTRICAL	MEDIUM	HIGH	HIGH	Facilities	406	84.58	74	6	6	1	10	9	258	1
SLA-000071	7/9/2026 15:50	7/10/2026 2:58	BUILDING_STRUCTURE	LOW	LOW	LOW	Facilities	668	23.19	2212	15	3	0	25	10	1965	1
SLA-000072	5/31/2026 19:14	5/31/2026 21:54	SAFETY_HAZARD	HIGH	HIGH	CRITICAL	Safety Team	160	33.33	320	19	6	1	24	7	571	1
SLA-000073	4/28/2026 3:31	4/28/2026 7:24	GROUNDS_OUTDOOR	MEDIUM	HIGH	HIGH	Grounds Team	233	48.54	247	3	1	0	11	4	338	0
SLA-000074	5/20/2026 9:04	5/20/2026 12:04	IT_HARDWARE_PRINTING	LOW	LOW	LOW	IT Support	180	6.25	2700	9	2	0	12	12	3131	1
SLA-000075	1/10/2026 15:40	1/10/2026 16:41	IT_HARDWARE_PRINTING	MEDIUM	LOW	LOW	IT Support	61	2.12	2819	15	5	1	17	10	1619	0
SLA-000076	1/15/2026 5:24	1/15/2026 9:03	IT_HARDWARE_PRINTING	MEDIUM	HIGH	HIGH	IT Support	219	45.62	261	5	3	0	21	12	420	1
SLA-000077	4/30/2026 18:21	5/1/2026 0:31	OTHER	MEDIUM	HIGH	HIGH	General Maintenance	370	77.08	110	18	3	0	26	6	359	1
SLA-000078	8/25/2026 23:18	8/26/2026 2:11	GROUNDS_OUTDOOR	LOW	MEDIUM	LOW	Grounds Team	173	6.01	2707	23	1	0	11	9	2669	0
SLA-000079	3/5/2026 7:11	3/5/2026 13:47	SAFETY_HAZARD	HIGH	MEDIUM	HIGH	Safety Team	396	82.5	84	7	3	0	0	12	315	1
SLA-000080	2/1/2026 22:02	2/1/2026 22:34	ELECTRICAL	HIGH	MEDIUM	HIGH	Facilities	32	6.67	448	22	6	1	18	0	106	0
SLA-000081	6/2/2026 5:42	6/2/2026 9:21	IT_HARDWARE_PRINTING	HIGH	HIGH	CRITICAL	IT Support	219	45.62	261	5	1	0	13	2	334	0
SLA-000082	4/23/2026 7:11	4/23/2026 18:05	CLEANING_WASTE	LOW	LOW	LOW	Cleaning Services	654	22.71	2226	7	3	0	29	2	2179	0
SLA-000083	2/28/2026 21:53	3/1/2026 1:09	GROUNDS_OUTDOOR	MEDIUM	HIGH	HIGH	Grounds Team	196	40.83	284	21	5	1	1	2	174	0
SLA-000084	8/2/2026 4:05	8/2/2026 5:40	IT_HARDWARE_PRINTING	MEDIUM	HIGH	HIGH	IT Support	95	19.79	385	4	6	1	15	2	399	0
SLA-000085	8/9/2026 15:38	8/9/2026 19:07	GROUNDS_OUTDOOR	MEDIUM	LOW	LOW	Grounds Team	209	7.26	2671	15	6	1	6	0	1024	0
SLA-000086	4/17/2026 22:15	4/18/2026 1:07	OTHER	MEDIUM	HIGH	HIGH	General Maintenance	172	35.83	308	22	4	0	12	0	372	0
SLA-000087	1/4/2026 11:16	1/4/2026 19:17	CLEANING_WASTE	LOW	HIGH	MEDIUM	Cleaning Services	481	33.4	959	11	6	1	17	6	482	0
SLA-000088	4/10/2026 6:58	4/10/2026 12:19	ELECTRICAL	HIGH	HIGH	CRITICAL	Facilities	321	66.88	159	6	4	0	15	12	184	1
SLA-000089	8/21/2026 1:03	8/21/2026 3:11	PLUMBING_WATER	HIGH	HIGH	CRITICAL	Facilities	128	26.67	352	1	4	0	14	11	149	1
SLA-000090	5/20/2026 23:49	5/21/2026 9:04	FURNITURE_FIXTURES	MEDIUM	MEDIUM	MEDIUM	Facilities	555	38.54	885	23	2	0	21	5	676	0
SLA-000091	2/17/2026 13:45	2/17/2026 21:35	BUILDING_STRUCTURE	MEDIUM	LOW	LOW	Facilities	470	16.32	2410	13	1	0	16	12	707	0
SLA-000092	5/31/2026 9:57	5/31/2026 13:52	CLEANING_WASTE	MEDIUM	MEDIUM	MEDIUM	Cleaning Services	235	16.32	1205	9	6	1	28	11	1038	1
SLA-000093	4/6/2026 14:10	4/7/2026 1:57	SAFETY_HAZARD	MEDIUM	LOW	LOW	Safety Team	707	24.55	2173	14	0	0	18	11	1105	0
SLA-000094	5/13/2026 19:38	5/13/2026 22:12	HVAC_AC	MEDIUM	HIGH	HIGH	Facilities	154	32.08	326	19	2	0	18	15	125	1
SLA-000095	7/26/2026 15:44	7/26/2026 17:41	PLUMBING_WATER	LOW	HIGH	MEDIUM	Facilities	117	8.12	1323	15	6	1	8	10	590	0
SLA-000096	6/23/2026 10:13	6/23/2026 10:28	AV_CLASSROOM_EQUIPMENT	HIGH	MEDIUM	HIGH	AV Support	15	3.12	465	10	1	0	20	14	133	1
SLA-000097	2/6/2026 3:53	2/6/2026 10:59	FURNITURE_FIXTURES	HIGH	MEDIUM	HIGH	Facilities	426	88.75	54	3	4	0	28	0	113	1
SLA-000098	1/23/2026 0:22	1/23/2026 9:35	CLEANING_WASTE	MEDIUM	LOW	LOW	Cleaning Services	553	19.2	2327	0	4	0	9	13	1860	0
SLA-000099	7/8/2026 7:30	7/8/2026 11:01	HVAC_AC	MEDIUM	HIGH	HIGH	Facilities	211	43.96	269	7	2	0	26	4	189	1
SLA-000100	4/14/2026 2:44	4/14/2026 4:35	IT_NETWORK_ACCOUNTS	LOW	LOW	LOW	IT Support	111	3.85	2769	2	1	0	14	2	648	0
SLA-000101	8/23/2026 16:51	8/24/2026 0:07	FURNITURE_FIXTURES	MEDIUM	LOW	LOW	Facilities	436	15.14	2444	16	6	1	24	1	2483	0
SLA-000102	3/29/2026 12:06	3/29/2026 18:03	FURNITURE_FIXTURES	MEDIUM	MEDIUM	MEDIUM	Facilities	357	24.79	1083	12	6	1	24	6	1438	1
SLA-000103	8/20/2026 10:38	8/20/2026 12:04	SAFETY_HAZARD	MEDIUM	HIGH	HIGH	Safety Team	86	17.92	394	10	3	0	1	9	333	0
SLA-000104	5/23/2026 6:18	5/23/2026 7:39	IT_NETWORK_ACCOUNTS	MEDIUM	HIGH	HIGH	IT Support	81	16.88	399	6	5	1	14	7	545	1
SLA-000105	4/22/2026 18:20	4/22/2026 20:25	HVAC_AC	MEDIUM	HIGH	HIGH	Facilities	125	26.04	355	18	2	0	17	7	175	0
SLA-000106	4/21/2026 17:05	4/21/2026 21:51	AV_CLASSROOM_EQUIPMENT	HIGH	HIGH	CRITICAL	AV Support	286	59.58	194	17	1	0	6	14	216	1
SLA-000107	6/4/2026 9:18	6/4/2026 13:40	IT_NETWORK_ACCOUNTS	HIGH	MEDIUM	HIGH	IT Support	262	54.58	218	9	3	0	11	0	223	1
SLA-000108	7/17/2026 3:07	7/17/2026 8:44	OTHER	LOW	MEDIUM	LOW	General Maintenance	337	11.7	2543	3	4	0	22	5	828	0
SLA-000109	1/8/2026 3:22	1/8/2026 5:58	BUILDING_STRUCTURE	HIGH	HIGH	CRITICAL	Facilities	156	32.5	324	3	3	0	24	8	206	1
SLA-000110	4/3/2026 12:57	4/3/2026 13:54	HVAC_AC	LOW	MEDIUM	LOW	Facilities	57	1.98	2823	12	4	0	21	13	3430	1
SLA-000111	7/3/2026 10:29	7/3/2026 15:42	GROUNDS_OUTDOOR	MEDIUM	MEDIUM	MEDIUM	Grounds Team	313	21.74	1127	10	4	0	21	12	1053	1
SLA-000112	6/10/2026 3:25	6/10/2026 10:19	SAFETY_HAZARD	HIGH	LOW	MEDIUM	Safety Team	414	28.75	1026	3	2	0	16	11	1245	1
SLA-000113	7/31/2026 15:37	7/31/2026 18:51	GROUNDS_OUTDOOR	MEDIUM	LOW	LOW	Grounds Team	194	6.74	2686	15	4	0	15	15	1973	0
SLA-000114	6/10/2026 15:28	6/10/2026 21:02	ELEVATOR	HIGH	LOW	MEDIUM	Facilities	334	23.19	1106	15	2	0	19	8	569	0
SLA-000115	5/10/2026 8:36	5/10/2026 10:20	AV_CLASSROOM_EQUIPMENT	HIGH	HIGH	CRITICAL	AV Support	104	21.67	376	8	6	1	6	3	236	0
SLA-000116	3/22/2026 23:23	3/23/2026 5:18	BUILDING_STRUCTURE	HIGH	HIGH	CRITICAL	Facilities	355	73.96	125	23	6	1	10	14	547	1
SLA-000117	7/8/2026 8:33	7/8/2026 12:04	ELEVATOR	HIGH	MEDIUM	HIGH	Facilities	211	43.96	269	8	2	0	22	6	288	1
SLA-000118	3/21/2026 9:43	3/21/2026 17:56	IT_HARDWARE_PRINTING	LOW	LOW	LOW	IT Support	493	17.12	2387	9	5	1	6	9	2554	0
SLA-000119	6/8/2026 4:05	6/8/2026 9:47	FURNITURE_FIXTURES	MEDIUM	LOW	LOW	Facilities	342	11.88	2538	4	0	0	17	11	2662	1
SLA-000120	8/18/2026 4:09	8/18/2026 11:01	OTHER	MEDIUM	MEDIUM	MEDIUM	General Maintenance	412	28.61	1028	4	1	0	27	2	995	1
SLA-000121	7/5/2026 18:35	7/5/2026 21:34	BUILDING_STRUCTURE	MEDIUM	HIGH	HIGH	Facilities	179	37.29	301	18	6	1	16	3	566	1
SLA-000122	7/26/2026 7:57	7/26/2026 17:08	OTHER	LOW	MEDIUM	LOW	General Maintenance	551	19.13	2329	7	6	1	27	6	2248	1
SLA-000123	5/25/2026 2:48	5/25/2026 3:43	FURNITURE_FIXTURES	MEDIUM	HIGH	HIGH	Facilities	55	11.46	425	2	0	0	3	11	491	1
SLA-000124	7/24/2026 18:21	7/24/2026 23:02	OTHER	HIGH	MEDIUM	HIGH	General Maintenance	281	58.54	199	18	4	0	12	12	549	1
SLA-000125	7/3/2026 1:30	7/3/2026 9:13	HVAC_AC	MEDIUM	LOW	LOW	Facilities	463	16.08	2417	1	4	0	26	4	3003	1
SLA-000126	8/22/2026 15:34	8/22/2026 17:48	IT_HARDWARE_PRINTING	LOW	LOW	LOW	IT Support	134	4.65	2746	15	5	1	11	12	1266	0
SLA-000127	1/26/2026 4:18	1/26/2026 11:11	IT_NETWORK_ACCOUNTS	MEDIUM	HIGH	HIGH	IT Support	413	86.04	67	4	0	0	3	12	415	1
SLA-000128	5/28/2026 14:56	5/28/2026 22:39	ELEVATOR	HIGH	MEDIUM	HIGH	Facilities	463	96.46	17	14	3	0	17	4	472	1
SLA-000129	2/17/2026 16:38	2/17/2026 22:34	PLUMBING_WATER	MEDIUM	HIGH	HIGH	Facilities	356	74.17	124	16	1	0	7	5	350	0
SLA-000130	5/14/2026 1:21	5/14/2026 6:55	GROUNDS_OUTDOOR	MEDIUM	HIGH	HIGH	Grounds Team	334	69.58	146	1	3	0	26	4	157	1
SLA-000131	7/5/2026 5:13	7/5/2026 15:55	OTHER	HIGH	LOW	MEDIUM	General Maintenance	642	44.58	798	5	6	1	18	1	952	0
SLA-000132	1/30/2026 17:23	1/31/2026 1:11	PLUMBING_WATER	LOW	HIGH	MEDIUM	Facilities	468	32.5	972	17	4	0	4	2	405	0
SLA-000133	7/11/2026 3:40	7/11/2026 10:30	FURNITURE_FIXTURES	MEDIUM	MEDIUM	MEDIUM	Facilities	410	28.47	1030	3	5	1	24	14	321	1
SLA-000134	4/27/2026 7:29	4/27/2026 12:52	CLEANING_WASTE	MEDIUM	LOW	LOW	Cleaning Services	323	11.22	2557	7	0	0	29	9	2057	1
SLA-000135	4/17/2026 10:11	4/17/2026 14:12	IT_HARDWARE_PRINTING	MEDIUM	HIGH	HIGH	IT Support	241	50.21	239	10	4	0	0	15	194	1
SLA-000136	4/12/2026 7:49	4/12/2026 8:10	ELECTRICAL	HIGH	LOW	MEDIUM	Facilities	21	1.46	1419	7	6	1	14	13	808	1
SLA-000137	8/18/2026 8:28	8/18/2026 13:43	SAFETY_HAZARD	HIGH	HIGH	CRITICAL	Safety Team	315	65.62	165	8	1	0	8	6	305	1
SLA-000138	3/27/2026 3:52	3/27/2026 10:32	ELECTRICAL	HIGH	MEDIUM	HIGH	Facilities	400	83.33	80	3	4	0	19	9	379	1
SLA-000139	7/13/2026 16:28	7/13/2026 20:59	AV_CLASSROOM_EQUIPMENT	MEDIUM	MEDIUM	MEDIUM	AV Support	271	18.82	1169	16	0	0	23	11	1652	1
SLA-000140	6/26/2026 0:35	6/26/2026 4:03	HVAC_AC	MEDIUM	HIGH	HIGH	Facilities	208	43.33	272	0	4	0	21	0	162	0
SLA-000141	5/3/2026 5:48	5/3/2026 9:04	IT_NETWORK_ACCOUNTS	MEDIUM	MEDIUM	MEDIUM	IT Support	196	13.61	1244	5	6	1	14	6	869	0
SLA-000142	8/3/2026 8:34	8/3/2026 9:28	PLUMBING_WATER	MEDIUM	LOW	LOW	Facilities	54	1.88	2826	8	0	0	12	14	2578	1
SLA-000143	7/22/2026 16:17	7/22/2026 18:10	AV_CLASSROOM_EQUIPMENT	HIGH	MEDIUM	HIGH	AV Support	113	23.54	367	16	2	0	0	13	202	1
SLA-000144	3/2/2026 19:57	3/2/2026 23:01	ELECTRICAL	MEDIUM	HIGH	HIGH	Facilities	184	38.33	296	19	0	0	14	11	234	1
SLA-000145	7/25/2026 21:32	7/26/2026 5:34	BUILDING_STRUCTURE	LOW	LOW	LOW	Facilities	482	16.74	2398	21	5	1	4	9	2712	0
SLA-000146	3/12/2026 13:45	3/12/2026 16:49	ELEVATOR	LOW	LOW	LOW	Facilities	184	6.39	2696	13	3	0	5	10	1481	0
SLA-000147	4/6/2026 5:31	4/6/2026 16:52	AV_CLASSROOM_EQUIPMENT	LOW	HIGH	MEDIUM	AV Support	681	47.29	759	5	0	0	12	0	682	0
SLA-000148	1/4/2026 11:04	1/4/2026 14:12	PLUMBING_WATER	MEDIUM	HIGH	HIGH	Facilities	188	39.17	292	11	6	1	16	15	546	1
SLA-000149	8/17/2026 3:18	8/17/2026 9:14	AV_CLASSROOM_EQUIPMENT	HIGH	MEDIUM	HIGH	AV Support	356	74.17	124	3	0	0	5	1	113	0
SLA-000150	3/10/2026 8:31	3/10/2026 10:41	SAFETY_HAZARD	HIGH	MEDIUM	HIGH	Safety Team	130	27.08	350	8	1	0	21	15	423	1
SLA-000151	1/20/2026 18:45	1/20/2026 21:08	PLUMBING_WATER	MEDIUM	LOW	LOW	Facilities	143	4.97	2737	18	1	0	3	10	3292	1
SLA-000152	8/21/2026 23:45	8/22/2026 3:13	CLEANING_WASTE	MEDIUM	MEDIUM	MEDIUM	Cleaning Services	208	14.44	1232	23	4	0	13	10	1327	1
SLA-000153	4/27/2026 21:42	4/27/2026 23:53	PLUMBING_WATER	MEDIUM	MEDIUM	MEDIUM	Facilities	131	9.1	1309	21	0	0	26	7	1605	1
SLA-000154	8/6/2026 4:03	8/6/2026 10:57	OTHER	MEDIUM	MEDIUM	MEDIUM	General Maintenance	414	28.75	1026	4	3	0	15	15	676	1
SLA-000155	2/2/2026 7:25	2/2/2026 11:57	ELEVATOR	HIGH	MEDIUM	HIGH	Facilities	272	56.67	208	7	0	0	20	12	151	1
SLA-000156	8/8/2026 15:01	8/8/2026 16:39	FURNITURE_FIXTURES	MEDIUM	LOW	LOW	Facilities	98	3.4	2782	15	5	1	3	10	1639	0
SLA-000157	1/3/2026 1:44	1/3/2026 8:03	CLEANING_WASTE	MEDIUM	MEDIUM	MEDIUM	Cleaning Services	379	26.32	1061	1	5	1	21	8	1653	1
SLA-000158	6/6/2026 1:22	6/6/2026 7:57	IT_HARDWARE_PRINTING	LOW	MEDIUM	LOW	IT Support	395	13.72	2485	1	5	1	20	8	2599	1
SLA-000159	8/22/2026 4:53	8/22/2026 16:12	IT_HARDWARE_PRINTING	LOW	LOW	LOW	IT Support	679	23.58	2201	4	5	1	23	8	3021	1
SLA-000160	4/5/2026 22:02	4/6/2026 4:31	HVAC_AC	LOW	MEDIUM	LOW	Facilities	389	13.51	2491	22	6	1	13	5	2891	0
